[16:44:17] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_train/data_train.rec, use 4 threads for decoding..
[16:44:28] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_val/data_val.rec, use 4 threads for decoding..
[16:44:34] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (set the environment variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
/home/wangyuanwen/anaconda3/lib/python3.7/site-packages/mxnet/module/base_module.py:504: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.015625). Is this intended?
  optimizer_params=optimizer_params)
INFO:root:Epoch[2] Batch [1200-1250]	Speed: 5139.06 samples/sec	acc=0.986563
INFO:root:Epoch[2] Batch [1250-1300]	Speed: 6371.31 samples/sec	acc=0.985000
INFO:root:Epoch[2] Batch [1300-1350]	Speed: 6696.33 samples/sec	acc=0.986250
INFO:root:Epoch[2] Batch [1350-1400]	Speed: 6352.54 samples/sec	acc=0.987187
INFO:root:Epoch[2] Batch [1400-1450]	Speed: 5933.80 samples/sec	acc=0.984062
INFO:root:Epoch[2] Batch [1450-1500]	Speed: 5377.79 samples/sec	acc=0.981875
INFO:root:Epoch[2] Batch [1500-1550]	Speed: 5307.15 samples/sec	acc=0.983750
INFO:root:Epoch[2] Batch [1550-1600]	Speed: 6344.26 samples/sec	acc=0.985313
INFO:root:Epoch[2] Batch [1600-1650]	Speed: 5077.07 samples/sec	acc=0.988125
INFO:root:Epoch[2] Batch [1650-1700]	Speed: 5076.97 samples/sec	acc=0.985938
INFO:root:Epoch[2] Batch [1700-1750]	Speed: 6144.10 samples/sec	acc=0.981875
INFO:root:Epoch[2] Batch [1750-1800]	Speed: 6033.65 samples/sec	acc=0.987187
INFO:root:Epoch[2] Batch [1800-1850]	Speed: 5957.78 samples/sec	acc=0.985625
INFO:root:Epoch[2] Batch [1850-1900]	Speed: 5710.47 samples/sec	acc=0.987187
INFO:root:Epoch[2] Batch [1900-1950]	Speed: 5659.19 samples/sec	acc=0.989375
INFO:root:Epoch[2] Batch [1950-2000]	Speed: 5569.05 samples/sec	acc=0.984062
INFO:root:Epoch[2] Batch [2000-2050]	Speed: 5416.76 samples/sec	acc=0.986563
INFO:root:Epoch[2] Batch [2050-2100]	Speed: 5974.23 samples/sec	acc=0.988125
INFO:root:Epoch[2] Batch [2100-2150]	Speed: 4807.65 samples/sec	acc=0.987812
INFO:root:Epoch[2] Batch [2150-2200]	Speed: 5572.01 samples/sec	acc=0.985625
INFO:root:Epoch[2] Batch [2200-2250]	Speed: 6807.24 samples/sec	acc=0.988125
INFO:root:Epoch[2] Batch [2250-2300]	Speed: 5703.86 samples/sec	acc=0.987187
INFO:root:Epoch[2] Batch [2300-2350]	Speed: 6436.55 samples/sec	acc=0.987187
INFO:root:Epoch[2] Batch [2350-2400]	Speed: 5156.79 samples/sec	acc=0.984375
INFO:root:Epoch[2] Batch [2400-2450]	Speed: 6941.58 samples/sec	acc=0.984688
INFO:root:Epoch[2] Batch [2450-2500]	Speed: 6872.31 samples/sec	acc=0.987500
INFO:root:Epoch[2] Batch [2500-2550]	Speed: 6389.69 samples/sec	acc=0.983437
INFO:root:Epoch[2] Batch [2550-2600]	Speed: 5904.20 samples/sec	acc=0.983750
INFO:root:Epoch[2] Batch [2600-2650]	Speed: 6132.17 samples/sec	acc=0.985313
